CONSTRAINT;OUTPUT;PERIOD;PERCENTAGE
_EVEN(OVOLGSEPMREC) 2..6 ;OVOLTOTREC;1;3.275323707294794e-14
_EVEN(OVOLGSEPMREC) 2..6 ;OVOLTOTREC;2;-9.77185130052615e-14
_EVEN(OVOLGSEPMREC) 2..6 ;OVOLTOTREC;3;-4.8859256502630767e-14
_EVEN(OVOLGSEPMREC) 2..6 ;OVOLTOTREC;4;8.143209417105126e-14
_EVEN(OVOLGSEPMREC) 2..6 ;OVOLTOTREC;5;1.9543702601052347e-13
_EVEN(OVOLGSEPMREC) 2..6 ;OVOLTOTREC;6;2.442962825131546e-13
_EVEN(OVOLGSEPMREC) 2..6 ;OVOLTOTREC;7;-0.002175854617900324
_EVEN(OVOLGSEPMREC) 2..6 ;OVOLTOTREC;8;0.0003672970912371632
_EVEN(OVOLGSEPMREC) 2..6 ;OVOLTOTREC;9;0.00018220964540992387
_EVEN(OVOLGSEPMREC) 2..6 ;OVOLTOTREC;10;0.001466996806307164
_EVEN(OVOLGSEPMREC) 2..6 ;OVOLTOTREC;11;-0.00430769250540011
_EVEN(OVOLGSEPMREC) 2..6 ;OVOLTOTREC;12;0.0013167303506923017
_EVEN(OVOLGSEPMREC) 2..6 ;OVOLTOTREC;13;0.001316730350692302
_EVEN(OVOLGSEPMREC) 2..6 ;OVOLTOTREC;14;0.000430543855565005
_EVEN(OVOLGSEPMREC) 2..6 ;OVOLTOTREC;15;0.00043054385574102294
_EVEN(OVOLGSEPMREC) 2..6 ;OVOLTOTREC;16;0.0012960804686150975
_EVEN(OVOLGSEPMREC) 2..6 ;OVOLTOTREC;17;-0.0005350377619422445
_EVEN(OVOLGSEPMREC) 2..6 ;OVOLTOTREC;18;0.00019319167577958865
_EVEN(OVOLGSEPMREC) 2..6 ;OVOLTOTREC;19;0.00019319167579844078
_EVEN(OVOLGSEPMREC) 2..6 ;OVOLTOTREC;20;0.00019319167568532526
_NDY(OVOLGSEPMREC) 6..20 ;OVOLTOTREC;1;1.637661853647397e-14
_NDY(OVOLGSEPMREC) 6..20 ;OVOLTOTREC;2;-3.25728376684205e-14
_NDY(OVOLGSEPMREC) 6..20 ;OVOLTOTREC;3;4.8859256502630767e-14
_NDY(OVOLGSEPMREC) 6..20 ;OVOLTOTREC;4;4.8859256502630754e-14
_NDY(OVOLGSEPMREC) 6..20 ;OVOLTOTREC;5;3.2572837668420576e-14
_NDY(OVOLGSEPMREC) 6..20 ;OVOLTOTREC;6;9.771851300526184e-14
_NDY(OVOLGSEPMREC) 6..20 ;OVOLTOTREC;7;-6.79628613019977e-12
_NDY(OVOLGSEPMREC) 6..20 ;OVOLTOTREC;8;7.971186271322752e-13
_NDY(OVOLGSEPMREC) 6..20 ;OVOLTOTREC;9;3.57646221884202e-13
_NDY(OVOLGSEPMREC) 6..20 ;OVOLTOTREC;10;4.310505989013125e-12
_NDY(OVOLGSEPMREC) 6..20 ;OVOLTOTREC;11;-1.3730506261454428e-11
_NDY(OVOLGSEPMREC) 6..20 ;OVOLTOTREC;12;3.826081350896617e-12
_NDY(OVOLGSEPMREC) 6..20 ;OVOLTOTREC;13;3.826081350896618e-12
_NDY(OVOLGSEPMREC) 6..20 ;OVOLTOTREC;14;1.3861360266036988e-12
_NDY(OVOLGSEPMREC) 6..20 ;OVOLTOTREC;15;1.4961468223658993e-12
_NDY(OVOLGSEPMREC) 6..20 ;OVOLTOTREC;16;4.494750241800884e-12
_NDY(OVOLGSEPMREC) 6..20 ;OVOLTOTREC;17;-9.328259602109122e-13
_NDY(OVOLGSEPMREC) 6..20 ;OVOLTOTREC;18;3.5819891958276576e-13
_NDY(OVOLGSEPMREC) 6..20 ;OVOLTOTREC;19;3.5819891958276505e-13
_NDY(OVOLGSEPMREC) 6..20 ;OVOLTOTREC;20;3.016411954381178e-13
_EVEN(OVOLTOTREC) 2..6 ;OVOLTOTREC;1;4.912985560942191e-14
_EVEN(OVOLTOTREC) 2..6 ;OVOLTOTREC;2;-8.143209417105126e-14
_EVEN(OVOLTOTREC) 2..6 ;OVOLTOTREC;3;2.056519297917313e-06
_EVEN(OVOLTOTREC) 2..6 ;OVOLTOTREC;4;4.8859256502630754e-14
_EVEN(OVOLTOTREC) 2..6 ;OVOLTOTREC;5;-6.514567533684115e-14
_EVEN(OVOLTOTREC) 2..6 ;OVOLTOTREC;6;-6.514567533684123e-14
_EVEN(OVOLTOTREC) 2..6 ;OVOLTOTREC;7;-0.002176483240354974
_EVEN(OVOLTOTREC) 2..6 ;OVOLTOTREC;8;0.0003673209715576344
_EVEN(OVOLTOTREC) 2..6 ;OVOLTOTREC;9;0.00018206875568785972
_EVEN(OVOLTOTREC) 2..6 ;OVOLTOTREC;10;0.001467408913951157
_EVEN(OVOLTOTREC) 2..6 ;OVOLTOTREC;11;-0.004308338554434595
_EVEN(OVOLTOTREC) 2..6 ;OVOLTOTREC;12;0.001317025760260568
_EVEN(OVOLTOTREC) 2..6 ;OVOLTOTREC;13;0.0013170257602723773
_EVEN(OVOLTOTREC) 2..6 ;OVOLTOTREC;14;0.00043054242274039674
_EVEN(OVOLTOTREC) 2..6 ;OVOLTOTREC;15;0.0004305424228944125
_EVEN(OVOLTOTREC) 2..6 ;OVOLTOTREC;16;0.0012964346177333614
_EVEN(OVOLTOTREC) 2..6 ;OVOLTOTREC;17;-0.0005348818164958245
_EVEN(OVOLTOTREC) 2..6 ;OVOLTOTREC;18;0.0001933027873500063
_EVEN(OVOLTOTREC) 2..6 ;OVOLTOTREC;19;0.00019330278731230076
_EVEN(OVOLTOTREC) 2..6 ;OVOLTOTREC;20;0.0001933027872180378
_NDY(OVOLTOTREC) 6.._LENGTH ;OVOLTOTREC;1;8.188309268236984e-14
_NDY(OVOLTOTREC) 6.._LENGTH ;OVOLTOTREC;2;-6.5145675336841e-14
_NDY(OVOLTOTREC) 6.._LENGTH ;OVOLTOTREC;3;3.2572837668420513e-14
_NDY(OVOLTOTREC) 6.._LENGTH ;OVOLTOTREC;4;9.771851300526151e-14
_NDY(OVOLTOTREC) 6.._LENGTH ;OVOLTOTREC;5;3.7458763318683666e-13
_NDY(OVOLTOTREC) 6.._LENGTH ;OVOLTOTREC;6;3.9087405202104735e-13
_NDY(OVOLTOTREC) 6.._LENGTH ;OVOLTOTREC;7;-0.002177128312531285
_NDY(OVOLTOTREC) 6.._LENGTH ;OVOLTOTREC;8;0.00036737125047679964
_NDY(OVOLTOTREC) 6.._LENGTH ;OVOLTOTREC;9;0.0001819072611003485
_NDY(OVOLTOTREC) 6.._LENGTH ;OVOLTOTREC;10;0.0014678533191984
_NDY(OVOLTOTREC) 6.._LENGTH ;OVOLTOTREC;11;-0.0043095019015835945
_NDY(OVOLTOTREC) 6.._LENGTH ;OVOLTOTREC;12;0.001317484911514861
_NDY(OVOLTOTREC) 6.._LENGTH ;OVOLTOTREC;13;0.0013174849115502878
_NDY(OVOLTOTREC) 6.._LENGTH ;OVOLTOTREC;14;0.0004304995774078273
_NDY(OVOLTOTREC) 6.._LENGTH ;OVOLTOTREC;15;0.00043049957751783877
_NDY(OVOLTOTREC) 6.._LENGTH ;OVOLTOTREC;16;0.0012967630616856896
_NDY(OVOLTOTREC) 6.._LENGTH ;OVOLTOTREC;17;-0.0005350878543917115
_NDY(OVOLTOTREC) 6.._LENGTH ;OVOLTOTREC;18;0.00019358141801652362
_NDY(OVOLTOTREC) 6.._LENGTH ;OVOLTOTREC;19;0.00019358141797881808
_NDY(OVOLTOTREC) 6.._LENGTH ;OVOLTOTREC;20;0.0001935814179599654
_EVEN(OVOLGRREC) 2..6 ;OVOLTOTREC;1;26.832155335745767
_EVEN(OVOLGRREC) 2..6 ;OVOLTOTREC;2;-4.885925650263075e-14
_EVEN(OVOLGRREC) 2..6 ;OVOLTOTREC;3;2.117234448447333e-13
_EVEN(OVOLGRREC) 2..6 ;OVOLTOTREC;4;1.9543702601052302e-13
_EVEN(OVOLGRREC) 2..6 ;OVOLTOTREC;5;6.025974968657806e-13
_EVEN(OVOLGRREC) 2..6 ;OVOLTOTREC;6;6.514567533684122e-13
_EVEN(OVOLGRREC) 2..6 ;OVOLTOTREC;7;1.4404018419575808
_EVEN(OVOLGRREC) 2..6 ;OVOLTOTREC;8;3.799416114038005
_EVEN(OVOLGRREC) 2..6 ;OVOLTOTREC;9;3.1303101012434933
_EVEN(OVOLGRREC) 2..6 ;OVOLTOTREC;10;2.4781708345252067
_EVEN(OVOLGRREC) 2..6 ;OVOLTOTREC;11;0.3470191251319687
_EVEN(OVOLGRREC) 2..6 ;OVOLTOTREC;12;-0.6995993188762212
_EVEN(OVOLGRREC) 2..6 ;OVOLTOTREC;13;-0.6995993188761859
_EVEN(OVOLGRREC) 2..6 ;OVOLTOTREC;14;0.514467010279032
_EVEN(OVOLGRREC) 2..6 ;OVOLTOTREC;15;1.8861832281861834
_EVEN(OVOLGRREC) 2..6 ;OVOLTOTREC;16;0.7778630049639987
_EVEN(OVOLGRREC) 2..6 ;OVOLTOTREC;17;0.18548835547451453
_EVEN(OVOLGRREC) 2..6 ;OVOLTOTREC;18;0.07105649961207182
_EVEN(OVOLGRREC) 2..6 ;OVOLTOTREC;19;0.0710564996119397
_EVEN(OVOLGRREC) 2..6 ;OVOLTOTREC;20;0.07105649961193967
_NDY(OVOLGRREC) 6.._LENGTH ;OVOLTOTREC;1;40.21205524106178
_NDY(OVOLGRREC) 6.._LENGTH ;OVOLTOTREC;2;-4.885925650263075e-14
_NDY(OVOLGRREC) 6.._LENGTH ;OVOLTOTREC;3;1.140049318394718e-13
_NDY(OVOLGRREC) 6.._LENGTH ;OVOLTOTREC;4;8.143209417105126e-14
_NDY(OVOLGRREC) 6.._LENGTH ;OVOLTOTREC;5;4.2344688968946746e-13
_NDY(OVOLGRREC) 6.._LENGTH ;OVOLTOTREC;6;4.723061461920989e-13
_NDY(OVOLGRREC) 6.._LENGTH ;OVOLTOTREC;7;2.3231145447830426
_NDY(OVOLGRREC) 6.._LENGTH ;OVOLTOTREC;8;4.910621540281433
_NDY(OVOLGRREC) 6.._LENGTH ;OVOLTOTREC;9;3.640295284084528
