Iteration;Period;Output;Value;Type
"1";"1";OSUPREC;230.60871;Total
"1";"1";OVOLREC;41219.88007;Total
"1";"1";OSUPPL;201.64000;Total
"1";"1";VOLINVENT;268183.92699;Total
"6";"1";OSUPREC;230.60871;Total
"6";"1";OVOLREC;41219.88007;Total
"6";"1";OSUPPL;201.64000;Total
"6";"1";VOLINVENT;268183.92699;Total
"1";"2";OSUPREC;204.51980;Total
"1";"2";OVOLREC;40846.36373;Total
"1";"2";OSUPPL;201.64000;Total
"1";"2";VOLINVENT;249029.88831;Total
"6";"2";OSUPREC;204.51980;Total
"6";"2";OVOLREC;40846.36373;Total
"6";"2";OSUPPL;201.64000;Total
"6";"2";VOLINVENT;249029.88831;Total
"1";"3";OSUPREC;282.14312;Total
"1";"3";OVOLREC;40500.59206;Total
"1";"3";OSUPPL;201.64000;Total
"1";"3";VOLINVENT;233043.05245;Total
"6";"3";OSUPREC;282.14312;Total
"6";"3";OVOLREC;40500.59206;Total
"6";"3";OSUPPL;201.64000;Total
"6";"3";VOLINVENT;233043.05245;Total
"1";"4";OSUPREC;276.35245;Total
"1";"4";OVOLREC;40147.48943;Total
"1";"4";OSUPPL;201.64000;Total
"1";"4";VOLINVENT;215736.76370;Total
"6";"4";OSUPREC;276.35245;Total
"6";"4";OVOLREC;40147.48943;Total
"6";"4";OSUPPL;201.64000;Total
"6";"4";VOLINVENT;215736.76370;Total
"1";"5";OSUPREC;203.03508;Total
"1";"5";OVOLREC;39612.76595;Total
"1";"5";OSUPPL;201.64000;Total
"1";"5";VOLINVENT;200188.98919;Total
"6";"5";OSUPREC;203.03508;Total
"6";"5";OVOLREC;39612.76595;Total
"6";"5";OSUPPL;201.64000;Total
"6";"5";VOLINVENT;200188.98919;Total
"1";"6";OSUPREC;303.05703;Total
"1";"6";OVOLREC;38999.50269;Total
"1";"6";OSUPPL;0.00000;Total
"1";"6";VOLINVENT;185978.96121;Total
"6";"6";OSUPREC;303.05703;Total
"6";"6";OVOLREC;38999.50269;Total
"6";"6";OSUPPL;0.00000;Total
"6";"6";VOLINVENT;185978.96121;Total
"1";"7";OSUPREC;302.33370;Total
"1";"7";OVOLREC;38490.25387;Total
"1";"7";OSUPPL;100.69370;Total
"1";"7";VOLINVENT;175874.35735;Total
"6";"7";OSUPREC;302.33370;Total
"6";"7";OVOLREC;38490.25387;Total
"6";"7";OSUPPL;100.69370;Total
"6";"7";VOLINVENT;175874.35735;Total
"1";"8";OSUPREC;316.15517;Total
"1";"8";OVOLREC;38277.97280;Total
"1";"8";OSUPPL;100.94630;Total
"1";"8";VOLINVENT;168946.75886;Total
"6";"8";OSUPREC;316.15517;Total
"6";"8";OVOLREC;38277.97280;Total
"6";"8";OSUPPL;100.94630;Total
"6";"8";VOLINVENT;168946.75886;Total
"1";"9";OSUPREC;273.56089;Total
"1";"9";OVOLREC;38144.22365;Total
"1";"9";OSUPPL;0.00000;Total
"1";"9";VOLINVENT;162124.99399;Total
"6";"9";OSUPREC;273.56089;Total
"6";"9";OVOLREC;38144.22365;Total
"6";"9";OSUPPL;0.00000;Total
"6";"9";VOLINVENT;162124.99399;Total
"1";"10";OSUPREC;269.15219;Total
"1";"10";OVOLREC;37717.16835;Total
"1";"10";OSUPPL;0.00000;Total
"1";"10";VOLINVENT;151955.37552;Total
"6";"10";OSUPREC;269.15219;Total
"6";"10";OVOLREC;37717.16835;Total
"6";"10";OSUPPL;0.00000;Total
"6";"10";VOLINVENT;151955.37552;Total
"1";"11";OSUPREC;357.25238;Total
"1";"11";OVOLREC;37219.48697;Total
"1";"11";OSUPPL;0.00000;Total
"1";"11";VOLINVENT;142825.39188;Total
"6";"11";OSUPREC;357.25238;Total
"6";"11";OVOLREC;37219.48697;Total
"6";"11";OSUPPL;0.00000;Total
"6";"11";VOLINVENT;142825.39188;Total
"1";"12";OSUPREC;351.04016;Total
"1";"12";OVOLREC;37052.27433;Total
"1";"12";OSUPPL;0.00000;Total
"1";"12";VOLINVENT;134349.68547;Total
"6";"12";OSUPREC;351.04016;Total
"6";"12";OVOLREC;37052.27433;Total
"6";"12";OSUPPL;0.00000;Total
"6";"12";VOLINVENT;134349.68547;Total
"1";"13";OSUPREC;203.23292;Total
"1";"13";OVOLREC;36857.77219;Total
"1";"13";OSUPPL;201.64000;Total
