Iteration;Period;Output;Value;Type
"0";"1";OSUPREC;296.20453;Total
"0";"2";OSUPREC;301.87840;Total
"0";"3";OSUPREC;205.96951;Total
"0";"4";OSUPREC;185.34208;Total
"0";"5";OSUPREC;206.21374;Total
"0";"6";OSUPREC;351.04415;Total
"0";"7";OSUPREC;353.19021;Total
"0";"8";OSUPREC;275.04844;Total
"0";"9";OSUPREC;298.84393;Total
"0";"10";OSUPREC;285.43877;Total
"0";"11";OSUPREC;373.69402;Total
"0";"12";OSUPREC;374.26471;Total
"0";"13";OSUPREC;186.19013;Total
"0";"14";OSUPREC;391.41778;Total
"0";"15";OSUPREC;400.67516;Total
"0";"16";OSUPREC;217.45877;Total
"0";"17";OSUPREC;387.72346;Total
"0";"18";OSUPREC;389.06933;Total
"0";"19";OSUPREC;409.35725;Total
"0";"20";OSUPREC;411.15120;Total
"0";"1";OVOLREC;41219.88007;Total
"0";"2";OVOLREC;41219.88007;Total
"0";"3";OVOLREC;41219.88007;Total
"0";"4";OVOLREC;41219.88007;Total
"0";"5";OVOLREC;41219.88007;Total
"0";"6";OVOLREC;41219.88007;Total
"0";"7";OVOLREC;41219.88007;Total
"0";"8";OVOLREC;41219.88007;Total
"0";"9";OVOLREC;41219.88007;Total
"0";"10";OVOLREC;41219.88007;Total
"0";"11";OVOLREC;41219.88007;Total
"0";"12";OVOLREC;41219.88007;Total
"0";"13";OVOLREC;41219.88007;Total
"0";"14";OVOLREC;41219.88007;Total
"0";"15";OVOLREC;41219.88007;Total
"0";"16";OVOLREC;41219.88007;Total
"0";"17";OVOLREC;41219.88007;Total
"0";"18";OVOLREC;41219.88007;Total
"0";"19";OVOLREC;41219.88007;Total
"0";"20";OVOLREC;41219.88007;Total
"0";"1";OSUPPL;296.20453;Total
"0";"2";OSUPPL;301.87840;Total
"0";"3";OSUPPL;205.96951;Total
"0";"4";OSUPPL;185.34208;Total
"0";"5";OSUPPL;206.21374;Total
"0";"6";OSUPPL;54.83963;Total
"0";"7";OSUPPL;51.31181;Total
"0";"8";OSUPPL;109.72029;Total
"0";"9";OSUPPL;0.00000;Total
"0";"10";OSUPPL;0.00000;Total
"0";"11";OSUPPL;0.00000;Total
"0";"12";OSUPPL;0.00000;Total
"0";"13";OSUPPL;0.00000;Total
"0";"14";OSUPPL;0.00000;Total
"0";"15";OSUPPL;0.00000;Total
"0";"16";OSUPPL;0.00000;Total
"0";"17";OSUPPL;0.00000;Total
"0";"18";OSUPPL;0.00000;Total
"0";"19";OSUPPL;0.00000;Total
"0";"20";OSUPPL;0.00000;Total
"0";"1";VOLINVENT;269218.14333;Total
"0";"2";VOLINVENT;251292.78426;Total
"0";"3";VOLINVENT;235444.43840;Total
"0";"4";VOLINVENT;222190.88171;Total
"0";"5";VOLINVENT;210999.46245;Total
"0";"6";VOLINVENT;200431.66134;Total
"0";"7";VOLINVENT;190376.97837;Total
