Iteration;Period;Output;Value;Type
"1";"1";OSUPREC;0.00000;Total
"1";"1";OVOLREC;0.00000;Total
"1";"1";OSUPPL;0.00000;Total
"1";"1";VOLINVENT;307097.72000;Total
"6";"1";OSUPREC;0.00000;Total
"6";"1";OVOLREC;0.00000;Total
"6";"1";OSUPPL;0.00000;Total
"6";"1";VOLINVENT;307097.72000;Total
"1";"2";OSUPREC;0.00000;Total
"1";"2";OVOLREC;0.00000;Total
"1";"2";OSUPPL;0.00000;Total
"1";"2";VOLINVENT;289092.92673;Total
"6";"2";OSUPREC;0.00000;Total
"6";"2";OVOLREC;0.00000;Total
"6";"2";OSUPPL;0.00000;Total
"6";"2";VOLINVENT;289092.92673;Total
"1";"3";OSUPREC;0.00000;Total
"1";"3";OVOLREC;0.00000;Total
"1";"3";OSUPPL;0.00000;Total
"1";"3";VOLINVENT;273994.55794;Total
"6";"3";OSUPREC;0.00000;Total
"6";"3";OVOLREC;0.00000;Total
"6";"3";OSUPPL;0.00000;Total
"6";"3";VOLINVENT;273994.55794;Total
"1";"4";OSUPREC;0.00000;Total
"1";"4";OVOLREC;0.00000;Total
"1";"4";OSUPPL;0.00000;Total
"1";"4";VOLINVENT;259080.77219;Total
"6";"4";OSUPREC;0.00000;Total
"6";"4";OVOLREC;0.00000;Total
"6";"4";OSUPPL;0.00000;Total
"6";"4";VOLINVENT;259080.77219;Total
"1";"5";OSUPREC;0.00000;Total
"1";"5";OVOLREC;0.00000;Total
"1";"5";OSUPPL;0.00000;Total
"1";"5";VOLINVENT;249632.14944;Total
"6";"5";OSUPREC;0.00000;Total
"6";"5";OVOLREC;0.00000;Total
"6";"5";OSUPPL;0.00000;Total
"6";"5";VOLINVENT;249632.14944;Total
"1";"6";OSUPREC;0.00000;Total
"1";"6";OVOLREC;0.00000;Total
"1";"6";OSUPPL;0.00000;Total
"1";"6";VOLINVENT;238851.21079;Total
"6";"6";OSUPREC;0.00000;Total
"6";"6";OVOLREC;0.00000;Total
"6";"6";OSUPPL;0.00000;Total
"6";"6";VOLINVENT;238851.21079;Total
"1";"7";OSUPREC;0.00000;Total
"1";"7";OVOLREC;0.00000;Total
"1";"7";OSUPPL;0.00000;Total
"1";"7";VOLINVENT;230828.56392;Total
"6";"7";OSUPREC;0.00000;Total
"6";"7";OVOLREC;0.00000;Total
"6";"7";OSUPPL;0.00000;Total
"6";"7";VOLINVENT;230828.56392;Total
"1";"8";OSUPREC;0.00000;Total
"1";"8";OVOLREC;0.00000;Total
"1";"8";OSUPPL;0.00000;Total
"1";"8";VOLINVENT;223085.95904;Total
"6";"8";OSUPREC;0.00000;Total
"6";"8";OVOLREC;0.00000;Total
"6";"8";OSUPPL;0.00000;Total
"6";"8";VOLINVENT;223085.95904;Total
"1";"9";OSUPREC;0.00000;Total
"1";"9";OVOLREC;0.00000;Total
"1";"9";OSUPPL;0.00000;Total
"1";"9";VOLINVENT;216830.74340;Total
"6";"9";OSUPREC;0.00000;Total
"6";"9";OVOLREC;0.00000;Total
"6";"9";OSUPPL;0.00000;Total
"6";"9";VOLINVENT;216830.74340;Total
"1";"10";OSUPREC;0.00000;Total
"1";"10";OVOLREC;0.00000;Total
"1";"10";OSUPPL;0.00000;Total
"1";"10";VOLINVENT;211449.42031;Total
"6";"10";OSUPREC;0.00000;Total
"6";"10";OVOLREC;0.00000;Total
"6";"10";OSUPPL;0.00000;Total
"6";"10";VOLINVENT;211449.42031;Total
"1";"11";OSUPREC;0.00000;Total
"1";"11";OVOLREC;0.00000;Total
"1";"11";OSUPPL;0.00000;Total
"1";"11";VOLINVENT;205364.54222;Total
"6";"11";OSUPREC;0.00000;Total
"6";"11";OVOLREC;0.00000;Total
"6";"11";OSUPPL;0.00000;Total
"6";"11";VOLINVENT;205364.54222;Total
"1";"12";OSUPREC;0.00000;Total
"1";"12";OVOLREC;0.00000;Total
"1";"12";OSUPPL;0.00000;Total
"1";"12";VOLINVENT;200573.88947;Total
"6";"12";OSUPREC;0.00000;Total
"6";"12";OVOLREC;0.00000;Total
"6";"12";OSUPPL;0.00000;Total
"6";"12";VOLINVENT;200573.88947;Total
"1";"13";OSUPREC;0.00000;Total
"1";"13";OVOLREC;0.00000;Total
"1";"13";OSUPPL;0.00000;Total
"1";"13";VOLINVENT;196606.15282;Total
"6";"13";OSUPREC;0.00000;Total
"6";"13";OVOLREC;0.00000;Total
"6";"13";OSUPPL;0.00000;Total
"6";"13";VOLINVENT;196606.15282;Total
"1";"14";OSUPREC;0.00000;Total
"1";"14";OVOLREC;0.00000;Total
"1";"14";OSUPPL;0.00000;Total
"1";"14";VOLINVENT;192890.66163;Total
"6";"14";OSUPREC;0.00000;Total
"6";"14";OVOLREC;0.00000;Total
"6";"14";OSUPPL;0.00000;Total
"6";"14";VOLINVENT;192890.66163;Total
"1";"15";OSUPREC;0.00000;Total
"1";"15";OVOLREC;0.00000;Total
"1";"15";OSUPPL;0.00000;Total
"1";"15";VOLINVENT;189563.72449;Total
"6";"15";OSUPREC;0.00000;Total
"6";"15";OVOLREC;0.00000;Total
"6";"15";OSUPPL;0.00000;Total
"6";"15";VOLINVENT;189563.72449;Total
"1";"16";OSUPREC;0.00000;Total
"1";"16";OVOLREC;0.00000;Total
"1";"16";OSUPPL;0.00000;Total
"1";"16";VOLINVENT;185872.02643;Total
"6";"16";OSUPREC;0.00000;Total
"6";"16";OVOLREC;0.00000;Total
"6";"16";OSUPPL;0.00000;Total
"6";"16";VOLINVENT;185872.02643;Total
"1";"17";OSUPREC;0.00000;Total
"1";"17";OVOLREC;0.00000;Total
"1";"17";OSUPPL;0.00000;Total
"1";"17";VOLINVENT;183011.63062;Total
"6";"17";OSUPREC;0.00000;Total
"6";"17";OVOLREC;0.00000;Total
"6";"17";OSUPPL;0.00000;Total
"6";"17";VOLINVENT;183011.63062;Total
"1";"18";OSUPREC;0.00000;Total
"1";"18";OVOLREC;0.00000;Total
"1";"18";OSUPPL;0.00000;Total
"1";"18";VOLINVENT;180656.30581;Total
"6";"18";OSUPREC;0.00000;Total
"6";"18";OVOLREC;0.00000;Total
"6";"18";OSUPPL;0.00000;Total
"6";"18";VOLINVENT;180656.30581;Total
"1";"19";OSUPREC;0.00000;Total
"1";"19";OVOLREC;0.00000;Total
"1";"19";OSUPPL;0.00000;Total
"1";"19";VOLINVENT;177027.59994;Total
"6";"19";OSUPREC;0.00000;Total
"6";"19";OVOLREC;0.00000;Total
"6";"19";OSUPPL;0.00000;Total
"6";"19";VOLINVENT;177027.59994;Total
"1";"20";OSUPREC;0.00000;Total
"1";"20";OVOLREC;0.00000;Total
"1";"20";OSUPPL;0.00000;Total
"1";"20";VOLINVENT;173985.55763;Total
"6";"20";OSUPREC;0.00000;Total
"6";"20";OVOLREC;0.00000;Total
"6";"20";OSUPPL;0.00000;Total
"6";"20";VOLINVENT;173985.55763;Total
"2";"1";OSUPREC;0.00000;Total
"2";"1";OVOLREC;0.00000;Total
"2";"1";OSUPPL;0.00000;Total
"2";"1";VOLINVENT;307097.72000;Total
"7";"1";OSUPREC;0.00000;Total
"7";"1";OVOLREC;0.00000;Total
"7";"1";OSUPPL;0.00000;Total
"7";"1";VOLINVENT;307097.72000;Total
"2";"2";OSUPREC;0.00000;Total
"2";"2";OVOLREC;0.00000;Total
"2";"2";OSUPPL;0.00000;Total
"2";"2";VOLINVENT;289092.92673;Total
"7";"2";OSUPREC;0.00000;Total
"7";"2";OVOLREC;0.00000;Total
"7";"2";OSUPPL;0.00000;Total
"7";"2";VOLINVENT;289092.92673;Total
