juris_id,ecozone,canfi_species,genus,species,variety,a,b,volm,count,rmse
AB,4,100,PICE,SPP,,0.9431912049,0.8476338994,509.04072206000001,94,7.7314649113999998
AB,4,101,PICE,MAR,,0.5509291907,0.9801773105,27.484256526999999,4,0.1408401544
AB,4,105,PICE,GLA,,0.9431912049,0.8476338994,509.04072206000001,94,7.7314649113999998
AB,4,200,PINU,SPP,,1.2162377304,0.8232616768,322.90766029999997,9,2.2056540777999998
AB,4,203,PINU,BAN,,1.2162377304,0.8232616768,322.90766029999997,9,2.2056540777999998
AB,4,204,PINU,CON,,1.2162377304,0.8232616768,322.90766029999997,9,2.2056540777999998
AB,4,204,PINU,CON,LAT,1.2162377304,0.8232616768,322.90766029999997,9,2.2056540777999998
AB,4,206,PINU,ALB,,0.5947627381,0.9409838336,370.54150113999998,46,4.4163557978999997
AB,4,216,PINU,MUR,,1.2162377304,0.8232616768,322.90766029999997,9,2.2056540777999998
AB,4,300,ABIE,SPP,,0.3926970989,0.9971157398,423.80330269000001,38,5.1089021160000003
AB,4,302,ABIE,BAL,,0.3926970989,0.9971157398,423.80330269000001,38,5.1089021160000003
AB,4,500,PSEU,MEN,,0.7389661523,0.9152583915,477.87548132000001,9,13.600887379
AB,4,500,PSEU,MEN,MEN,0.7389661523,0.9152583915,477.87548132000001,9,13.600887379
AB,4,500,PSEU,MEN,GLA,0.7389661523,0.9152583915,477.87548132000001,9,13.600887379
AB,4,500,PSEU,SPP,,0.7389661523,0.9152583915,477.87548132000001,9,13.600887379
AB,4,600,LARI,SPP,,0.5895473900,0.9550140168,199.53544905999999,26,1.0667683034
AB,4,601,LARI,DEC,,0.5895473900,0.9550140168,199.53544905999999,26,1.0667683034
AB,4,602,LARI,LAR,,0.5895473900,0.9550140168,199.53544905999999,26,1.0667683034
AB,4,603,LARI,OCC,,0.7514377801,0.9119291308,795.06432588999996,633,6.5472419321000004
AB,4,1200,POPU,SPP,,0.5678507511,0.9459614803,451.73612403999999,21,3.4944476093999999
AB,4,1201,POPU,TRE,,0.5678507511,0.9459614803,451.73612403999999,21,3.4944476093999999
AB,4,1203,POPU,BAL,,0.4076663168,0.9796663556,364.49530192999998,4,0.87590334969999994
AB,4,1203,POPU,BAL,BAL,0.4076663168,0.9796663556,364.49530192999998,4,0.87590334969999994
AB,4,1204,POPU,TRI,,0.4076663168,0.9796663556,364.49530192999998,4,0.87590334969999994
AB,4,1205,POPU,DEL,,0.4076663168,0.9796663556,364.49530192999998,4,0.87590334969999994
AB,4,1205,POPU,DEL,DEL,0.4076663168,0.9796663556,364.49530192999998,4,0.87590334969999994
AB,4,1214,POPU,AGU,,0.4076663168,0.9796663556,364.49530192999998,4,0.87590334969999994
AB,4,1303,BETU,PAP,,0.7431254378,0.9229018437,217.08427506999999,4,2.9435375583000001
AB,4,1303,BETU,PAP,PAP,0.7431254378,0.9229018437,217.08427506999999,4,2.9435375583000001
AB,5,100,PICE,SPP,,0.4656486298,0.9774880674,648.11789773999999,403,4.1208626982999998
AB,5,101,PICE,MAR,,0.5810778741,0.9600529769,392.98012476000002,81,2.1295139966000001
AB,5,105,PICE,GLA,,0.4656486298,0.9774880674,648.11789773999999,403,4.1208626982999998
AB,5,200,PINU,SPP,,0.6123370957,0.9463157509,627.71148980999999,729,4.1639931590000003
AB,5,203,PINU,BAN,,0.4237196182,1.0273961260,228.61569283,30,1.6787929614999999
AB,5,204,PINU,CON,,0.6123370957,0.9463157509,627.71148980999999,729,4.1639931590000003
AB,5,204,PINU,CON,LAT,0.6123370957,0.9463157509,627.71148980999999,729,4.1639931590000003
AB,5,216,PINU,MUR,,0.6186204702,0.9446451189,627.71148980999999,759,4.1452955763999997
AB,5,300,ABIE,SPP,,0.3926970989,0.9971157398,423.80330269000001,38,5.1089021160000003
AB,5,302,ABIE,BAL,,0.3926970989,0.9971157398,423.80330269000001,38,5.1089021160000003
AB,5,500,PSEU,MEN,,0.7389661523,0.9152583915,477.87548132000001,9,13.600887379
AB,5,500,PSEU,MEN,MEN,0.7389661523,0.9152583915,477.87548132000001,9,13.600887379
AB,5,500,PSEU,MEN,GLA,0.7389661523,0.9152583915,477.87548132000001,9,13.600887379
AB,5,500,PSEU,SPP,,0.7389661523,0.9152583915,477.87548132000001,9,13.600887379
AB,5,600,LARI,SPP,,0.5895473900,0.9550140168,199.53544905999999,26,1.0667683034
AB,5,601,LARI,DEC,,0.5895473900,0.9550140168,199.53544905999999,26,1.0667683034
AB,5,602,LARI,LAR,,0.5895473900,0.9550140168,199.53544905999999,26,1.0667683034
AB,5,1200,POPU,SPP,,0.5081216409,0.9724404427,802.89670489000002,247,2.9715351776999999
AB,5,1201,POPU,TRE,,0.5081216409,0.9724404427,802.89670489000002,247,2.9715351776999999
AB,5,1203,POPU,BAL,,0.5504656975,0.9447731151,504.07910798,36,3.7459103419000002
AB,5,1203,POPU,BAL,BAL,0.5504656975,0.9447731151,504.07910798,36,3.7459103419000002
AB,5,1204,POPU,TRI,,0.5504656975,0.9447731151,504.07910798,36,3.7459103419000002
AB,5,1205,POPU,DEL,,0.5504656975,0.9447731151,504.07910798,36,3.7459103419000002
AB,5,1205,POPU,DEL,DEL,0.5504656975,0.9447731151,504.07910798,36,3.7459103419000002
AB,5,1214,POPU,AGU,,0.5504656975,0.9447731151,504.07910798,36,3.7459103419000002
AB,5,1303,BETU,PAP,,0.7431254378,0.9229018437,217.08427506999999,4,2.9435375583000001
AB,5,1303,BETU,PAP,PAP,0.7431254378,0.9229018437,217.08427506999999,4,2.9435375583000001
AB,6,100,PICE,SPP,,0.4656486298,0.9774880674,648.11789773999999,403,4.1208626982999998
AB,6,101,PICE,MAR,,0.5810778741,0.9600529769,392.98012476000002,81,2.1295139966000001
AB,6,105,PICE,GLA,,0.4656486298,0.9774880674,648.11789773999999,403,4.1208626982999998
AB,6,200,PINU,SPP,,0.6123370957,0.9463157509,627.71148980999999,729,4.1639931590000003
AB,6,203,PINU,BAN,,0.4237196182,1.0273961260,228.61569283,30,1.6787929614999999
AB,6,204,PINU,CON,,0.6123370957,0.9463157509,627.71148980999999,729,4.1639931590000003
AB,6,204,PINU,CON,LAT,0.6123370957,0.9463157509,627.71148980999999,729,4.1639931590000003
AB,6,216,PINU,MUR,,0.6186204702,0.9446451189,627.71148980999999,759,4.1452955763999997
AB,6,300,ABIE,SPP,,0.3926970989,0.9971157398,423.80330269000001,38,5.1089021160000003
AB,6,302,ABIE,BAL,,0.3926970989,0.9971157398,423.80330269000001,38,5.1089021160000003
AB,6,500,PSEU,MEN,,0.7389661523,0.9152583915,477.87548132000001,9,13.600887379
AB,6,500,PSEU,MEN,MEN,0.7389661523,0.9152583915,477.87548132000001,9,13.600887379
AB,6,500,PSEU,MEN,GLA,0.7389661523,0.9152583915,477.87548132000001,9,13.600887379
AB,6,500,PSEU,SPP,,0.7389661523,0.9152583915,477.87548132000001,9,13.600887379
AB,6,600,LARI,SPP,,0.5895473900,0.9550140168,199.53544905999999,26,1.0667683034
AB,6,601,LARI,DEC,,0.5895473900,0.9550140168,199.53544905999999,26,1.0667683034
AB,6,602,LARI,LAR,,0.5895473900,0.9550140168,199.53544905999999,26,1.0667683034
AB,6,1200,POPU,SPP,,0.5081216409,0.9724404427,802.89670489000002,247,2.9715351776999999
AB,6,1201,POPU,TRE,,0.5081216409,0.9724404427,802.89670489000002,247,2.9715351776999999
AB,6,1203,POPU,BAL,,0.5504656975,0.9447731151,504.07910798,36,3.7459103419000002
AB,6,1203,POPU,BAL,BAL,0.5504656975,0.9447731151,504.07910798,36,3.7459103419000002
AB,6,1204,POPU,TRI,,0.5504656975,0.9447731151,504.07910798,36,3.7459103419000002
AB,6,1205,POPU,DEL,,0.5504656975,0.9447731151,504.07910798,36,3.7459103419000002
AB,6,1205,POPU,DEL,DEL,0.5504656975,0.9447731151,504.07910798,36,3.7459103419000002
AB,6,1214,POPU,AGU,,0.5504656975,0.9447731151,504.07910798,36,3.7459103419000002
AB,6,1303,BETU,PAP,,0.7431254378,0.9229018437,217.08427506999999,4,2.9435375583000001
AB,6,1303,BETU,PAP,PAP,0.7431254378,0.9229018437,217.08427506999999,4,2.9435375583000001
AB,9,100,PICE,SPP,,0.4656486298,0.9774880674,648.11789773999999,403,4.1208626982999998
AB,9,101,PICE,MAR,,0.5810778741,0.9600529769,392.98012476000002,81,2.1295139966000001
AB,9,104,PICE,ENG,,0.5799296376,0.9339728907,344.45976567000002,5,1.7085863805999999
AB,9,104,PICE,ENG,GLA,0.5799296376,0.9339728907,344.45976567000002,5,1.7085863805999999
AB,9,105,PICE,GLA,,0.4656486298,0.9774880674,648.11789773999999,403,4.1208626982999998
AB,9,109,PICE,SPP,,0.4656486298,0.9774880674,648.11789773999999,403,4.1208626982999998
AB,9,200,PINU,SPP,,0.6123370957,0.9463157509,627.71148980999999,729,4.1639931590000003
AB,9,203,PINU,BAN,,0.4237196182,1.0273961260,228.61569283,30,1.6787929614999999
AB,9,204,PINU,CON,,0.6123370957,0.9463157509,627.71148980999999,729,4.1639931590000003
AB,9,204,PINU,CON,LAT,0.6123370957,0.9463157509,627.71148980999999,729,4.1639931590000003
AB,9,206,PINU,ALB,,0.5947627381,0.9409838336,370.54150113999998,46,4.4163557978999997
AB,9,216,PINU,MUR,,0.6186204702,0.9446451189,627.71148980999999,759,4.1452955763999997
AB,9,300,ABIE,SPP,,0.3926970989,0.9971157398,423.80330269000001,38,5.1089021160000003
AB,9,302,ABIE,BAL,,0.3926970989,0.9971157398,423.80330269000001,38,5.1089021160000003
AB,9,304,ABIE,LAS,,0.3926970989,0.9971157398,423.80330269000001,38,5.1089021160000003
AB,9,305,ABIE,MX2,,0.3926970989,0.9971157398,423.80330269000001,38,5.1089021160000003
AB,9,306,ABIE,MIX,,0.3926970989,0.9971157398,423.80330269000001,38,5.1089021160000003
AB,9,500,PSEU,MEN,,0.7389661523,0.9152583915,477.87548132000001,9,13.600887379
AB,9,500,PSEU,MEN,MEN,0.7389661523,0.9152583915,477.87548132000001,9,13.600887379
AB,9,500,PSEU,MEN,GLA,0.7389661523,0.9152583915,477.87548132000001,9,13.600887379
AB,9,500,PSEU,SPP,,0.7389661523,0.9152583915,477.87548132000001,9,13.600887379
AB,9,600,LARI,SPP,,0.5895473900,0.9550140168,199.53544905999999,26,1.0667683034
AB,9,601,LARI,DEC,,0.5895473900,0.9550140168,199.53544905999999,26,1.0667683034
AB,9,602,LARI,LAR,,0.5895473900,0.9550140168,199.53544905999999,26,1.0667683034
AB,9,603,LARI,OCC,,0.7514377801,0.9119291308,795.06432588999996,633,6.5472419321000004
AB,9,604,LARI,LYA,,0.5895473900,0.9550140168,199.53544905999999,26,1.0667683034
AB,9,1150,UNKN,SPP,,0.6155922590,0.9400894447,648.11789773999999,1113,6.8616032087000001
AB,9,1200,POPU,SPP,,0.5081216409,0.9724404427,802.89670489000002,247,2.9715351776999999
AB,9,1201,POPU,TRE,,0.5081216409,0.9724404427,802.89670489000002,247,2.9715351776999999
AB,9,1203,POPU,BAL,,0.5504656975,0.9447731151,504.07910798,36,3.7459103419000002
AB,9,1203,POPU,BAL,BAL,0.5504656975,0.9447731151,504.07910798,36,3.7459103419000002
AB,9,1204,POPU,TRI,,0.5504656975,0.9447731151,504.07910798,36,3.7459103419000002
AB,9,1205,POPU,DEL,,0.5504656975,0.9447731151,504.07910798,36,3.7459103419000002
AB,9,1205,POPU,DEL,DEL,0.5504656975,0.9447731151,504.07910798,36,3.7459103419000002
AB,9,1214,POPU,AGU,,0.5504656975,0.9447731151,504.07910798,36,3.7459103419000002
AB,9,1303,BETU,PAP,,0.7431254378,0.9229018437,217.08427506999999,4,2.9435375583000001
AB,9,1303,BETU,PAP,PAP,0.7431254378,0.9229018437,217.08427506999999,4,2.9435375583000001
AB,9,1404,ACER,NEG,,0.7431254378,0.9229018437,217.08427506999999,4,2.9435375583000001
AB,9,1500,GENH,SPP,,0.7431254378,0.9229018437,217.08427506999999,4,2.9435375583000001
AB,9,1550,GENH,SPP,,0.7431254378,0.9229018437,217.08427506999999,4,2.9435375583000001
AB,9,3500,SALI,SPP,,1.5118816767,0.8096994534,496.33000000999999,1479,12.632492979
AB,9,3508,SALI,DIS,,1.5118816767,0.8096994534,496.33000000999999,1479,12.632492979
AB,10,100,PICE,SPP,,0.4656486298,0.9774880674,648.11789773999999,403,4.1208626982999998
AB,10,101,PICE,MAR,,0.5810778741,0.9600529769,392.98012476000002,81,2.1295139966000001
AB,10,104,PICE,ENG,,0.4656486298,0.9774880674,648.11789773999999,403,4.1208626982999998
AB,10,104,PICE,ENG,GLA,0.4656486298,0.9774880674,648.11789773999999,403,4.1208626982999998
AB,10,105,PICE,GLA,,0.4656486298,0.9774880674,648.11789773999999,403,4.1208626982999998
AB,10,200,PINU,SPP,,0.6123370957,0.9463157509,627.71148980999999,729,4.1639931590000003
AB,10,203,PINU,BAN,,0.4237196182,1.0273961260,228.61569283,30,1.6787929614999999
AB,10,204,PINU,CON,,0.6123370957,0.9463157509,627.71148980999999,729,4.1639931590000003
AB,10,204,PINU,CON,LAT,0.6123370957,0.9463157509,627.71148980999999,729,4.1639931590000003
AB,10,213,PINU,FLE,,0.5947627381,0.9409838336,370.54150113999998,46,4.4163557978999997
AB,10,216,PINU,MUR,,0.6186204702,0.9446451189,627.71148980999999,759,4.1452955763999997
AB,10,300,ABIE,SPP,,0.3926970989,0.9971157398,423.80330269000001,38,5.1089021160000003
AB,10,302,ABIE,BAL,,0.3926970989,0.9971157398,423.80330269000001,38,5.1089021160000003
AB,10,304,ABIE,LAS,,0.3926970989,0.9971157398,423.80330269000001,38,5.1089021160000003
AB,10,500,PSEU,MEN,,0.7389661523,0.9152583915,477.87548132000001,9,13.600887379
AB,10,500,PSEU,MEN,MEN,0.7389661523,0.9152583915,477.87548132000001,9,13.600887379
AB,10,500,PSEU,MEN,GLA,0.7389661523,0.9152583915,477.87548132000001,9,13.600887379
