juris_id,ecozone,canfi_species,genus,species,variety,a,b,k,cap,volm,count,rmse
AB,4,100,PICE,SPP,,99.9999999900,-1.3699249500,0.8955708015,1.6735619313000001,509.04072206000001,20,0.047146143699999997
AB,4,101,PICE,MAR,,2.5578459249,-0.4196006010,0.5000000000,2.3881899192999998,27.484256526999999,2,
AB,4,105,PICE,GLA,,99.9999999900,-1.3699249500,0.8955708015,1.6735619313000001,509.04072206000001,20,0.047146143699999997
AB,4,200,PINU,SPP,,99.9999999900,-1.4967842100,0.9345147449,1.1590154104999999,322.90766029999997,11,0.0198199685
AB,4,203,PINU,BAN,,99.9999999900,-1.4967842100,0.9345147449,1.1590154104999999,322.90766029999997,11,0.0198199685
AB,4,204,PINU,CON,,99.9999999900,-1.4967842100,0.9345147449,1.1590154104999999,322.90766029999997,11,0.0198199685
AB,4,204,PINU,CON,LAT,99.9999999900,-1.4967842100,0.9345147449,1.1590154104999999,322.90766029999997,11,0.0198199685
AB,4,206,PINU,ALB,,14.3032403560,-0.6298805800,0.3984527681,5.4123235992999996,377.89513718000001,19,0.098253807999999998
AB,4,216,PINU,MUR,,99.9999999900,-1.4425672320,0.9045344620,1.3543925338,322.90766029999997,12,0.024045202799999998
AB,4,300,ABIE,SPP,,1.3500229781,-0.0572470490,0.0000000100,1.2868662934999999,423.80330269000001,19,0.076051306599999993
AB,4,302,ABIE,BAL,,1.3500229781,-0.0572470490,0.0000000100,1.2868662934999999,423.80330269000001,19,0.076051306599999993
AB,4,500,PSEU,MEN,,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,4,500,PSEU,MEN,MEN,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,4,500,PSEU,MEN,GLA,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,4,500,PSEU,SPP,,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,4,600,LARI,SPP,,2.4231023081,-0.5274697780,0.9455645849,2.0186454098,199.53544905999999,8,0.057314430600000001
AB,4,601,LARI,DEC,,2.4231023081,-0.5274697780,0.9455645849,2.0186454098,199.53544905999999,8,0.057314430600000001
AB,4,602,LARI,LAR,,2.4231023081,-0.5274697780,0.9455645849,2.0186454098,199.53544905999999,8,0.057314430600000001
AB,4,603,LARI,OCC,,10.7449890830,-0.4630113300,0.1744027789,4.3921293664999999,795.06432588999996,34,0.16349037990000001
AB,4,1200,POPU,SPP,,19.9493696260,-0.9331492410,0.8055462475,2.6637404403999998,451.73612403999999,19,0.068349767199999995
AB,4,1201,POPU,TRE,,19.9493696260,-0.9331492410,0.8055462475,2.6637404403999998,451.73612403999999,19,0.068349767199999995
AB,4,1203,POPU,BAL,,1.0656577617,-0.0116287620,0.0000000100,1.0165328821999999,364.49530192999998,9,0.0076530796000000003
AB,4,1203,POPU,BAL,BAL,1.0656577617,-0.0116287620,0.0000000100,1.0165328821999999,364.49530192999998,9,0.0076530796000000003
AB,4,1204,POPU,TRI,,1.0656577617,-0.0116287620,0.0000000100,1.0165328821999999,364.49530192999998,9,0.0076530796000000003
AB,4,1205,POPU,DEL,,1.0656577617,-0.0116287620,0.0000000100,1.0165328821999999,364.49530192999998,9,0.0076530796000000003
AB,4,1205,POPU,DEL,DEL,1.0656577617,-0.0116287620,0.0000000100,1.0165328821999999,364.49530192999998,9,0.0076530796000000003
AB,4,1214,POPU,AGU,,1.0656577617,-0.0116287620,0.0000000100,1.0165328821999999,364.49530192999998,9,0.0076530796000000003
AB,4,1303,BETU,PAP,PAP,24.7824259410,-0.7786517840,0.2688077901,2.9193162287000001,217.08427506999999,6,0.2030558509
AB,4,1303,BETU,PAP,,24.7824259410,-0.7786517840,0.2688077901,2.9193162287000001,217.08427506999999,6,0.2030558509
AB,5,100,PICE,SPP,,1.2877105535,-0.0428992640,0.0000000100,1.2288791160000001,658.35024884999996,32,0.051234240799999997
AB,5,101,PICE,MAR,,11.6577938360,-0.4934737450,0.0607439165,5.2418972533000003,392.98012476000002,20,0.073004787500000001
AB,5,105,PICE,GLA,,1.2877105535,-0.0428992640,0.0000000100,1.2288791160000001,658.35024884999996,32,0.051234240799999997
