juris_id,ecozone,canfi_species,genus,species,variety,a1,a2,a3,b1,b2,b3,c1,c2,c3,count
AB,4,100,PICE,SPP,,-2.9737850000,-0.0013397000,0.2494025000,-4.6582440000,-0.0037008000,0.5384983000,1.2582090000,0.0017146000,-0.7335693000,94
AB,4,101,PICE,MAR,,-1.3721840000,0.0078779000,-0.1882625000,-2.4551090000,-0.0141344000,0.1005061000,-0.1225716000,0.0455878000,-0.9324859000,4
AB,4,105,PICE,GLA,,-2.9737850000,-0.0013397000,0.2494025000,-4.6582440000,-0.0037008000,0.5384983000,1.2582090000,0.0017146000,-0.7335693000,94
AB,4,200,PINU,SPP,,3.0637760000,0.0063935000,-1.2390010000,-3.2701470000,-0.0043885000,0.3571932000,-0.2698893000,0.0022748000,-0.5517132000,9
AB,4,203,PINU,BAN,,3.0637760000,0.0063935000,-1.2390010000,-3.2701470000,-0.0043885000,0.3571932000,-0.2698893000,0.0022748000,-0.5517132000,9
AB,4,204,PINU,CON,,3.0637760000,0.0063935000,-1.2390010000,-3.2701470000,-0.0043885000,0.3571932000,-0.2698893000,0.0022748000,-0.5517132000,9
AB,4,204,PINU,CON,LAT,3.0637760000,0.0063935000,-1.2390010000,-3.2701470000,-0.0043885000,0.3571932000,-0.2698893000,0.0022748000,-0.5517132000,9
AB,4,206,PINU,ALB,,-1.6208940000,0.0000371000,-0.1091873000,-0.9625049000,0.0052800000,-0.4991704000,-1.1682890000,0.0028012000,-0.3771049000,46
AB,4,216,PINU,MUR,,3.0637760000,0.0063935000,-1.2390010000,-3.2701470000,-0.0043885000,0.3571932000,-0.2698893000,0.0022748000,-0.5517132000,9
AB,4,300,ABIE,SPP,,-1.1571170000,0.0007395000,-0.1735332000,0.5572737000,0.0005295000,-0.4051833000,-0.3311022000,-0.0000599000,-0.3127531000,38
AB,4,302,ABIE,BAL,,-1.1571170000,0.0007395000,-0.1735332000,0.5572737000,0.0005295000,-0.4051833000,-0.3311022000,-0.0000599000,-0.3127531000,38
AB,4,500,PSEU,MEN,,-2.4038910000,-0.0006387000,0.1674664000,0.7055001000,0.0010978000,-0.4010315000,4.4256990000,0.0036288000,-1.2633560000,9
AB,4,500,PSEU,MEN,MEN,-2.4038910000,-0.0006387000,0.1674664000,0.7055001000,0.0010978000,-0.4010315000,4.4256990000,0.0036288000,-1.2633560000,9
AB,4,500,PSEU,MEN,GLA,-2.4038910000,-0.0006387000,0.1674664000,0.7055001000,0.0010978000,-0.4010315000,4.4256990000,0.0036288000,-1.2633560000,9
AB,4,500,PSEU,SPP,,-2.4038910000,-0.0006387000,0.1674664000,0.7055001000,0.0010978000,-0.4010315000,4.4256990000,0.0036288000,-1.2633560000,9
AB,4,600,LARI,SPP,,-1.1195290000,0.0032119000,-0.2502692000,-0.6020969000,-0.0010206000,-0.1819619000,-1.2469560000,-0.0019971000,-0.2304488000,26
AB,4,601,LARI,DEC,,-1.1195290000,0.0032119000,-0.2502692000,-0.6020969000,-0.0010206000,-0.1819619000,-1.2469560000,-0.0019971000,-0.2304488000,26
AB,4,602,LARI,LAR,,-1.1195290000,0.0032119000,-0.2502692000,-0.6020969000,-0.0010206000,-0.1819619000,-1.2469560000,-0.0019971000,-0.2304488000,26
AB,4,603,LARI,OCC,,-2.3472960000,-0.0000381000,0.0676977000,-1.7618530000,-0.0001164000,-0.0610369000,-1.9404560000,-0.0001281000,-0.1359998000,633
AB,4,1200,POPU,SPP,,-1.1949850000,0.0000789000,-0.0865502000,-4.8323420000,-0.0027556000,0.5318822000,-5.0544270000,-0.0031166000,0.4885195000,21
AB,4,1201,POPU,TRE,,-1.1949850000,0.0000789000,-0.0865502000,-4.8323420000,-0.0027556000,0.5318822000,-5.0544270000,-0.0031166000,0.4885195000,21
AB,4,1203,POPU,BAL,,-0.6261049000,0.0005566000,-0.1943104000,-2.5243430000,-0.0013397000,0.2774612000,-8.2605670000,-0.0045744000,1.1133390000,4
AB,4,1203,POPU,BAL,BAL,-0.6261049000,0.0005566000,-0.1943104000,-2.5243430000,-0.0013397000,0.2774612000,-8.2605670000,-0.0045744000,1.1133390000,4
AB,4,1204,POPU,TRI,,-0.6261049000,0.0005566000,-0.1943104000,-2.5243430000,-0.0013397000,0.2774612000,-8.2605670000,-0.0045744000,1.1133390000,4
AB,4,1205,POPU,DEL,,-0.6261049000,0.0005566000,-0.1943104000,-2.5243430000,-0.0013397000,0.2774612000,-8.2605670000,-0.0045744000,1.1133390000,4
AB,4,1205,POPU,DEL,DEL,-0.6261049000,0.0005566000,-0.1943104000,-2.5243430000,-0.0013397000,0.2774612000,-8.2605670000,-0.0045744000,1.1133390000,4
AB,4,1214,POPU,AGU,,-0.6261049000,0.0005566000,-0.1943104000,-2.5243430000,-0.0013397000,0.2774612000,-8.2605670000,-0.0045744000,1.1133390000,4
AB,4,1303,BETU,PAP,,-1.7232720000,-0.0013644000,0.0205927000,-3.4442070000,-0.0087834000,0.6099656000,-2.3313820000,0.0055207000,-0.2235254000,4
